"Company Name","Address","ZIP Code","Legal Name","Record Type","Neighborhood","Census Block Group","Company Description","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database","Square Footage","Latitude","Longitude"
"PNC Advisors","2101 S College Ave","19121","","Unverified","Sharswood","3","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","1","","039.972736","-075.173275"
"Power Direct Media LLC","2339 W Thompson St # A","19121","POWER DIRECT MEDIA LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975396","-075.174854"
"Powercorpsphl","2300 W Master St # 121","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","1","","039.976239","-075.174217"
"Pride Of Israel 70","2207 W Thompson St # 3","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.974980","-075.172440"
"Princess Properties LLC","1326 N 22nd St","19121","PRINCESS PROPERTIES LLC","Unverified","Sharswood","2","","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","4","","039.975966","-075.172079"
"Problem Solvers Pest Control","2209 Bolton St","19121","","Unverified","Sharswood","1","","734201","Pest Control","56171009","Exterminating And Pest Control Services","1 to 4","Single Loc","14","1 - 1,499","039.978374","-075.171807"
"Ramadan's Oasis Barbershop","2062 Ridge Ave","19121","","Unverified","Sharswood","2","","724101","Barbers","81211101","Barber Shops","1 to 4","Single Loc","4","","039.976991","-075.169494"
"Ray Cab Co","2419 W Master St","19121","","Unverified","Sharswood","1","","412101","Taxicabs & Transportation Service","48531002","Taxi And Ridesharing Services","1 to 4","Single Loc","4","","039.976794","-075.175734"
"Ray's Reusables LLC","2400 W Thompson St # B","19121","RAY'S REUSABLES LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975187","-075.175435"
"Red Star Advisors LLC","2437 Sharswood St","19121","RED STAR ADVISORS LLC","Unverified","Sharswood","1","","874899","Consultants-Business NEC","54161830","Other Management Consulting Services","1 to 4","Single Loc","4","","039.977505","-075.175908"
"Relax Unlimited Ministries","2341 N College Ave","19121","","Unverified","Sharswood","2","","866107","Churches","81311008","Religious Organizations","1 to 4","Single Loc","4","","039.974730","-075.174981"
"Retail Manager","2101 N College Ave","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.975227","-075.171211"
