Version Year,Company Name,Address,City,State,ZIP Code,Record Type,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Years In Database
2012,Cell Phone Accessories Depot,1600 N Broad St,Philadelphia,PA,19121,Verified,481207,Cellular Telephones (Services),51711214,Wireless Telecommunications Carriers (Except Satel,15
2012,Cell Phone City,1708 N 22nd St,Philadelphia,PA,19121,Verified,599902,Cellular Telephones-Equipment & Supls,44921035,Electronics And Appliance Retailers,15
2012,Charles Gratz Fire Protctn Co,Oxford St,Philadelphia,PA,19121,Verified,506308,Fire Alarm Systems (Whls),42361032,"Electrical Apparatus And Equipment, Wiring Supplie",15
2012,Charlie's Country Ribs,2528 W Diamond St,Philadelphia,PA,19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,29
2012,Checkers Drive-In Restaurant,1208 N Broad St,Philadelphia,PA,19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,31
2012,Cherry's Beauty Salon,2224 W Montgomery Ave,Philadelphia,PA,19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,42
2012,China Bowl,1640 W Susquehanna Ave,Philadelphia,PA,19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,21
2012,China House,1430 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,24
2012,China Lotus Restaurant,1301 N 29th St,Philadelphia,PA,19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,35
2012,Choice Management,2221 W Berks St,Philadelphia,PA,19121,Verified,874130,Management Services,56111022,Office Administrative Services,19
2012,Chris Born Agency,1421 W Susquehanna Ave,Philadelphia,PA,19121,Verified,641112,Insurance,52421001,Insurance Agencies And Brokerages,16
2012,Christene Nail Salon,2302 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,22
2012,Church Of Advocate,2121 N Gratz St,Philadelphia,PA,19121,Verified,866107,Churches,81311008,Religious Organizations,42
2012,Cinnamon Jade,1222 N 29th St,Philadelphia,PA,19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,30
2012,Cisse Tounkara Hair Braiding,2221 Ridge Ave,Philadelphia,PA,19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,42
2012,City Food Market,1445 N 19th St,Philadelphia,PA,19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,20
2012,City View Pizza,1434 Cecil B Moore Ave # A,Philadelphia,PA,19121,Verified,581222,Pizza,72251115,Full-Service Restaurants,19
2012,Clara Baldwin Manor,2600 W Susquehanna Ave,Philadelphia,PA,19121,Verified,805904,Retirement Communities & Homes,62331101,Continuing Care Retirement Communities,33
2012,Clark Roofing Co,1537 W Thompson St,Philadelphia,PA,19121,Verified,176109,Roofing Contractors,23816014,Roofing Contractors,15
2012,Cleveland Waters,2608 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,593217,Furniture-Used,45951019,Used Merchandise Retailers,42
2012,Clip Joint Salon,1609 N 29th St,Philadelphia,PA,19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,17
2012,Cobra City Check Cashing,2101 W Susquehanna Ave,Philadelphia,PA,19121,Verified,609903,Check Cashing Service,52232003,"Financial Transactions Processing, Reserve, And Cl",23
2012,College Girard,2101 N College Ave,Philadelphia,PA,19121,Verified,822101,Schools-Universities & Colleges Academic,61131009,"Colleges, Universities, And Professional Schools",14
2012,"Collins, Henry",1428 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,15
2012,Columbia Deli,1634 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,581209,,,,17
2012,Columbia Money Loan Office Inc,1426 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,593229,Pawnbrokers,52229915,"International, Secondary Market, And All Other Non",42
2012,Community Concern Ctr,2721 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,835101,Child Care Service,62441003,Child Care Services,42
2012,Community Food Market,2901 W Oxford St,Philadelphia,PA,19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,42
2012,Community Partnership School,1936 N Judson St,Philadelphia,PA,19121,Verified,821103,Schools,61111007,Elementary And Secondary Schools,16
