Company Name,Address,ZIP Code,Legal Name,Record Type,Neighborhood,Census Block Group,Company Description,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Type,Years In Database,Square Footage,Latitude,Longitude
Brooke's Bridge's LLC,1502 N 22nd St,19121,BROOKE'S BRIDGE'S LLC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.977671,-75.171562
Brown's Variety,2100 W Master St,19121,BROWN'S VARIETY,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.975813,-75.170372
Buzzy B Delights LLC,2435 W Thompson St,19121,BUZZY B DELIGHTS LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975584,-75.176465
Callum No 7 LLC,1223 N 25th St # 3,19121,CALLUM NO 7 LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975141,-75.176769
Candy's Decorganizing Svc LLC,2300 W Master St,19121,CANDY'S DECORGANIZING SVC LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.976239,-75.174217
Carephilly Constructed LLC,1402d N 22nd St,19121,CAREPHILLY CONSTRUCTED LLC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.976284,-75.171868
Caribbean Bites Co,2248 Stewart St # D,19121,NA,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.977250,-75.17268
Carolyn F Wesley Ent Inc,2440 W Seybert St,19121,CAROLYN F WESLEY ENT INC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,1,NA,039.975875,-75.176308
Cdfi Coalition,2444 W Seybert St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.975886,-75.176409
Central Refrigeration Co,2016 Ridge Ave,19121,NA,Unverified,Sharswood,2,NA,762302,Refrigerators & Freezers-Service/Repair,81141216,Appliance Repair And Maintenance,1 to 4,Single Loc,4,NA,039.975883,-75.168861
Century 21 Tradin Places,2232d Stewart St,19121,NA,Unverified,Sharswood,1,NA,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,1 to 4,Single Loc,2,NA,039.977230,-75.172535
Chef's Secret Enterprises LLC,1202 N 24th St # 2,19121,CHEF'S SECRET ENTERPRISES LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.974816,-75.17562
Chico White,2344 W Thompson St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975111,-75.174987
Childrens Aid Society-Penna,2027 N College Ave,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.975286,-75.169409
Childrens Learning Arc,2058 Ridge Ave,19121,CHILDRENS LEARNING ARC,Unverified,Sharswood,2,NA,835101,Child Care Service,62441003,Child Care Services,1 to 4,Single Loc,8,"1,500 - 2,499",039.976910,-75.169451
Childrens Positive Palace,2058 Ridge Ave # 1,19121,NA,Unverified,Sharswood,2,NA,835101,Child Care Service,62441003,Child Care Services,1 to 4,Single Loc,13,"1,500 - 2,499",039.976910,-75.169451
China Sea,2454 Harlan St,19121,NA,Unverified,Sharswood,1,NA,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,20,"1 - 1,499",039.977029,-75.17642
"China, Sea",2454 Harlan St,19121,NA,Unverified,Sharswood,1,NA,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,15,"1 - 1,499",039.977029,-75.17642
Christ Mission Ctr,2026 Ridge Ave # 2,19121,CHRIST MISSION INC,Unverified,Sharswood,2,NA,866107,Churches,81311008,Religious Organizations,1 to 4,Single Loc,15,"1,500 - 2,499",039.976045,-75.16908
Christian Mission Baptist Chr,2131 W Seybert St,19121,CHRISTIAN MISSION BAPTIST CHURCH,Unverified,Sharswood,2,NA,866107,Churches,81311008,Religious Organizations,1 to 4,Single Loc,27,"1,500 - 2,499",039.975564,-75.17147
Citilife Inc,2118 W Master St,19121,CITILIFE INC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975903,-75.170878
City Of Greenville,1202 N Taylor St,19121,NA,Unverified,Sharswood,2,NA,912104,Government Offices-City/Village & Twp,92112006,Legislative Bodies,20 to 49,Single Loc,2,NA,039.974722,-75.176596
City Wide Refrigeration,2210 W Oxford St,19121,NA,Unverified,Sharswood,1,NA,762302,Refrigerators & Freezers-Service/Repair,81141216,Appliance Repair And Maintenance,1 to 4,Single Loc,4,NA,039.978948,-75.171552
Classic Varsity LTD,2101 S College Ave # 175,19121,NA,Unverified,Sharswood,3,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.972736,-75.173275
Clean Image Cleaning Co,2328 W Thompson St,19121,NA,Unverified,Sharswood,2,NA,734902,Janitor Service,56172001,Janitorial Services,1 to 4,Single Loc,4,NA,039.975067,-75.174561
Clean To Perfection,2410 W Thompson St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975227,-75.175736
Clemente Beer,2048 Ridge Ave,19121,NA,Unverified,Sharswood,2,NA,518101,Beer & Ale-Wholesale,42481001,Beer And Ale Merchant Wholesalers,1 to 4,Single Loc,13,"2,500 - 4,999",039.976574,-75.169336
CMCS Inc,2225 N College Ave,19121,CMCS INC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.974888,-75.173047
Cocanut Grove,2104 Ridge Ave,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.977975,-75.170092
Coko's Hair Hut,2004 Ridge Ave,19121,NA,Unverified,Sharswood,2,NA,723106,Beauty Salons,81211202,Beauty Salons,1 to 4,Single Loc,9,"1 - 1,499",039.975410,-75.168605
Committee To Investigate,1410 N 21st St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976331,-75.17033
Community Coordinating Svc,2006 Ridge Ave # 2,19121,NA,Unverified,Sharswood,2,NA,899999,Services NEC,54199009,"All Other Professional, Scientific, And Technical",1 to 4,Single Loc,4,NA,039.975453,-75.168634
