Company Name,Address,ZIP Code,Legal Name,Record Type,Neighborhood,Census Block Group,Company Description,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Type,Years In Database,Square Footage,Latitude,Longitude
Union Discount Ctr Inc,2050 Ridge Ave,19121,UNION DISCOUNT CTR INC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976741,-75.169369
Unique Cleaning,2123 W Master St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.976224,-75.171097
United American Veterans,2335 N College Ave,19121,NA,Unverified,Sharswood,2,NA,864102,Veterans' & Military Organizations,81341003,Civic And Social Organizations,1 to 4,Single Loc,4,NA,039.974745,-75.17481
United Methodist Church,2412 W Seybert St,19121,UNITED METHODIST CHURCH,Unverified,Sharswood,2,NA,866107,Churches,81311008,Religious Organizations,1 to 4,Single Loc,7,"1,500 - 2,499",039.975785,-75.175627
Universal Enterprise Logistics,1206 N 24th St # C,19121,UNIVERSAL ENTERPRISE LOGISTICS LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.974914,-75.175581
Universal Improvement Co,2137 W Jefferson St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.977622,-75.171055
University Of PA Law Review,1425 N 23rd St,19121,NA,Unverified,Sharswood,1,NA,822103,Law Schools,61131004,"Colleges, Universities, And Professional Schools",NA,Single Loc,3,NA,039.977098,-75.173184
Untal Nobles-Tabernacle Gospel,2034 Ridge Ave,19121,NA,Unverified,Sharswood,2,NA,866107,Churches,81311008,Religious Organizations,1 to 4,Single Loc,15,"1,500 - 2,499",039.976261,-75.169144
VMR Corp,2438 W Thompson St,19121,VMR CORP,Unverified,Sharswood,2,NA,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,21,"1,500 - 2,499",039.975355,-75.176786
Volia Personal Chef Svc LLC,2215 W Thompson St,19121,VOLIA! PERSONAL CHEF SVC LTD LIABILITY CO,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975106,-75.172601
"Watts, Daud",1410 N 23rd St # 2,19121,NA,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,1 to 4,Single Loc,11,"1 - 1,499",039.976689,-75.173524
Wave Property Group LLC,1204 N 24th St # 5,19121,WAVE PROPERTY GROUP LLC,Unverified,Sharswood,2,NA,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,1 to 4,Single Loc,3,NA,039.974870,-75.175591
Wes Health Ctr,2311 W Jefferson St,19121,NA,Unverified,Sharswood,1,NA,809907,Health Services,62199921,All Other Miscellaneous Ambulatory Health Care Ser,5 to 9,Single Loc,14,"5,000 - 9,999",039.977794,-75.172997
Wherever Bar,2111 W Master St # A,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976165,-75.170686
Wiiliams & Sons Trucking Co,2425 W Master St,19121,NA,Unverified,Sharswood,1,NA,421304,Trucking,48423013,"Specialized Freight (Except Used Goods) Trucking,",1 to 4,Single Loc,4,NA,039.976835,-75.175957
William G Smith & Sons Inc,2100 Bolton St,19121,WILLIAM G SMITH & SONS INC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.978018,-75.170324
Wilmington Youth Rowing Assn,2208 W Seybert St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,1,NA,039.975332,-75.172404
Wine & Spirits,2100 Ridge Ave,19121,NA,Unverified,Sharswood,2,NA,592102,Liquors-Retail,44532004,"Beer, Wine, And Liquor Retailers",1 to 4,Single Loc,14,"1,500 - 2,499",039.977905,-75.170048
Winner Service,2137 W Jefferson St,19121,NA,Unverified,Sharswood,2,NA,899999,Services NEC,54199009,"All Other Professional, Scientific, And Technical",1 to 4,Single Loc,4,NA,039.977622,-75.171055
Wise Contractor LLC,2109 W Seybert St,19121,WISE CONTRACTOR LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.975622,-75.170835
Women In Wealth Network LLC,2439 N College Ave # 5,19121,WOMEN IN WEALTH NETWORK LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.974511,-75.17695
Wood County Board Of Education,2110 W Jefferson St,19121,NA,Unverified,Sharswood,2,NA,821113,Boards Of Education,61111005,Elementary And Secondary Schools,50 to 99,Single Loc,2,NA,039.977242,-75.170371
Xo Monae LLC,1430 N 22nd St,19121,XO MONAE LLC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976663,-75.17178
Ynot Teach,2220 W Master St # 5,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976134,-75.17263
Young Queens Rise Inc,1218 N Ringgold St,19121,YOUNG QUEENS RISE INC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.975076,-75.176056
Youth Concerned For The Cmnty,2403 W Master St,19121,NA,Unverified,Sharswood,1,NA,832222,Youth Organizations & Centers,62411006,Child And Youth Services,20 to 49,Single Loc,4,NA,039.976726,-75.175165
Yum's Kitchen LLC,2227 W Thompson St # 2,19121,YUM'S KITCHEN LLC,Unverified,Sharswood,2,NA,571211,Kitchen Cabinets & Equipment-Household,33711006,Wood Kitchen Cabinet And Countertop Manufacturing,1 to 4,Single Loc,4,NA,039.975156,-75.172941
Zamssoul LLC,2216 W Oxford St,19121,ZAMSSOUL LLC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.978967,-75.17171
Zoogang LLC,2425 W Master St,19121,ZOOGANG LLC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976835,-75.175957
